time,left_eye,right_eye,lips,head_h,head_v,head_slope,planar_angle,lip_sum,lip_ratio,abs_mov 
5227,0.010471283046152746,0,0.007534241542844544,1.0,2.0,1.0,0.003110136090086091,1.9963366218769352,0.007534241542844544,0
5228,0.006519202691271486,0,0.010152568421428587,1.0,1.0,2.0,0.003431989957311629,0.996814718550695,0.010152568421428587,0
5229,0.007771946061650381,0,0.0027668976831717873,1.0,1.0,2.0,0.0034129560315383223,1.0343897872952539,0.0027668976831717873,0
5230,0.002059284801790573,0,0.006426591629090261,0.0,1.0,1.0,0.005856899736569721,1.9370387605302994,0.006426591629090261,0
5231,0.017474378406769076,0,0.01012754892955775,1.0,0.0,1.0,0.003081698720608303,0.9943582172288075,0.01012754892955775,0
5232,0.0005547685210968711,0,0.010130472042973293,1.0,1.0,2.0,0.008895030819540878,0.9946452187397199,0.010130472042973293,0
5233,0.016327982151788045,0,0.010130472042973293,2.0,2.0,4.0,0.0,0.9946452187397199,0.010130472042973293,0
5234,0.011276677364491228,0,0.010130472042973293,1.0,1.0,2.0,0.0027336438568554555,0.9946452187397199,0.010130472042973293,0
5235,0.01181630260090949,0,0.00893282231171455,2.0,1.0,3.0,0.00579983368414759,0.8770557743517315,0.00893282231171455,0
5236,0.017266844951826177,0,0.0007225624349916915,1.0,1.0,2.0,0.002703670412908296,2.9382547133451737,0.0007225624349916915,0
5237,0.0,0,0.012276205104538918,2.0,0.0,2.0,0.0,0.05630448060136928,0.012276205104538918,0
5238,0.015163875674386096,0,0.006119864010861342,3.0,3.0,6.0,0.0034037847766975465,1.9894489603542524,0.006119864010861342,0
5239,0.009060864361305376,0,0.008720686305755565,0.0,0.0,0.0,0.0,0.8736369438966562,0.008720686305755565,0
5240,0.017310554211822426,0,0.009925731905665092,2.0,1.0,3.0,0.0003468673983635373,0.9943582172288075,0.009925731905665092,0
5241,0.0,0,0.004955911440980232,1.0,1.0,2.0,0.0033924860012640445,0.8774654887141651,0.004955911440980232,0
5242,0.006429126842352528,0,0.009784141960913484,0.0,2.0,2.0,0.0,1.046215030945575,0.009784141960913484,0
5243,0.0019478803407355083,0,0.003657406040921518,2.0,1.0,3.0,0.0010615311864915628,0.9987397601337875,0.003657406040921518,0
5244,0.014351696266967473,0,0.007288002625242651,1.0,0.0,1.0,0.0023013758481049,2.051396223054496,0.007288002625242651,0
5245,2.11815319459685e-05,0,0.007089013058457383,0.0,1.0,1.0,0.005618581328336425,1.9964799046128405,0.007089013058457383,1
5246,0.009929761523630731,0,0.0038563956077067862,1.0,2.0,3.0,0.002985335802914005,1.0536560785754432,0.0038563956077067862,0
5247,0.0109518397855084,0,0.010757863140015034,0.0,0.0,0.0,0.0007196832150793281,2.9962932766229926,0.010757863140015034,0
5248,0.0021233534861671566,0,0.008359711996709873,1.0,1.0,0.0,0.0033353532667841357,0.7811591750777893,0.008359711996709873,1
5249,0.015324990214478695,0,0.022926948266063563,1.0,1.0,2.0,0.002598234517354664,0.9745104863099812,0.022926948266063563,0
5250,0.008562887151443543,0,0.009752652282289498,1.0,2.0,1.0,0.0036941489001938305,0.9867544461933164,0.009752652282289498,0
5251,0.013656941191981964,0,0.0037463617485371525,2.0,2.0,4.0,0.0,1.0618530649611273,0.0037463617485371525,0
5252,0.006841699879842178,0,0.0272577638367969,1.0,1.0,0.0,0.002578947209993007,0.14079901391900762,0.0272577638367969,0
5253,0.015021001469498807,0,0.01116293488817588,0.0,3.0,3.0,0.0003695426301599525,1.1794126650832197,0.01116293488817588,1
5254,0.01791642682829392,0,0.005863383252662835,1.0,0.0,1.0,0.003668387876538143,2.1454534386180057,0.005863383252662835,0
5255,0.005725041023854294,0,0.003629991574161051,1.0,1.0,0.0,0.0025831816448193268,0.9992243551577644,0.003629991574161051,0
5256,0.018550719808055005,0,0.009899408474486782,3.0,2.0,1.0,0.0029441405464410153,0.9528062416720786,0.009899408474486782,0
5257,0.03976806248221515,0,0.017089067133339908,3.0,2.0,1.0,0.002946160137444989,1.045657512528436,0.017089067133339908,0
5258,0.015428251195808873,0,0.02025606821691267,3.0,1.0,2.0,0.0026214457674928887,0.7660967883942931,0.02025606821691267,0
5259,0.012741171040956623,0,0.008786046372518896,5.0,0.0,5.0,0.00359292546724925,0.8232130677864404,0.008786046372518896,0
5260,0.004945706742955247,0,0.010690600922257099,2.0,1.0,1.0,0.00031618885961436083,1.165790368182087,0.010690600922257099,0
5261,0.004945706742955247,0,0.03328197274854622,4.0,2.0,2.0,0.011818425352347492,1.9406157498746666,0.03328197274854622,0
5262,0.009675789929766587,0,0.001036966863337041,3.0,0.0,3.0,0.00295891096160851,0.042650488804611086,0.001036966863337041,0
5263,0.014621496672721834,0,0.003577864866546321,6.0,1.0,5.0,0.0056653854844988805,0.9204214685128989,0.003577864866546321,0
5264,0.010358196803523456,0,0.007677636360092999,5.0,0.0,5.0,0.0034679078218551457,2.032786539891788,0.007677636360092999,0
5265,0.001976124380630384,0,0.0036652327617047176,6.0,0.0,6.0,0.005914174514457193,0.9992682033659435,0.0036652327617047176,0
5266,0.0009475223964040547,0,0.0036652327617047176,6.0,1.0,5.0,0.006130474070172906,0.9992682033659435,0.0036652327617047176,0
5267,0.004404327387964757,0,0.01714139093210587,5.0,1.0,6.0,0.0027508191881874255,0.9571518191426094,0.01714139093210587,0
5268,0.0,0,0.007559366552161717,5.0,0.0,5.0,0.0029617006696674303,1.9544191610683868,0.007559366552161717,1
5269,0.0009029937783543995,0,0.016512729287605832,5.0,0.0,5.0,0.0033648663752286617,3.0960451855465863,0.016512729287605832,0
5270,0.005144082079674095,0,0.023426597267259208,7.0,1.0,6.0,0.008664945858247473,0.9658423722856071,0.023426597267259208,0
5271,0.0060470758580284945,0,0.00022311831989474395,6.0,3.0,3.0,0.00017496894122822487,0.0708513259569088,0.00022311831989474395,0
5272,0.006439330990557657,0,0.0038982633358643493,7.0,0.0,7.0,0.002948763089226432,0.9992393990427502,0.0038982633358643493,0
5273,0.006381280873342554,0,0.005773676034404485,5.0,0.0,5.0,0.0029497409778682857,1.9980945893296678,0.005773676034404485,0
5274,0.0009084866244974399,0,0.0059972125498483075,5.0,1.0,4.0,0.008985235147836092,2.0686133659918085,0.0059972125498483075,0
5275,0.001578388077384807,0,0.002452648531819923,6.0,0.0,6.0,0.0,2.9321867256701637,0.002452648531819923,0
5276,0.017078884453690435,0,0.01277795747970667,5.0,1.0,4.0,0.002822488846123343,2.992119170741404,0.01277795747970667,0
5277,0.007771276627114243,0,0.008527892448395524,6.0,1.0,7.0,0.011906482186240953,1.960898602144141,0.008527892448395524,0
5278,0.02951410133929583,0,0.004075884100022409,5.0,1.0,4.0,0.0028690447300782525,0.9867108131814746,0.004075884100022409,0
5279,0.01311275822434127,0,0.023935022664165473,6.0,0.0,6.0,0.0,1.0007911393334155,0.023935022664165473,0
5280,0.017352840598694352,0,0.009848778218981113,5.0,0.0,5.0,0.008871313576715414,1.0349781460207623,0.009848778218981113,0
5281,0.012768069108791968,0,0.010471209847874419,5.0,2.0,7.0,0.008874108473739295,1.0475920832572854,0.010471209847874419,0
5282,0.019701718888576247,0,0.01430510305891236,5.0,1.0,4.0,0.008875506582758102,0.060588614592973045,0.01430510305891236,0
5283,0.0008014681646220101,0,0.008461879679005913,5.0,1.0,4.0,0.002958571249378143,1.9377977293553386,0.008461879679005913,0
5284,0.012871044288831457,0,0.004140690666286362,9.0,0.0,9.0,0.008875195853768498,0.9995457642386327,0.004140690666286362,1
5285,0.0037502373823181667,0,0.00016407195307199807,1.0,0.0,1.0,0.0029580534040267257,0.039990004547433955,0.00016407195307199807,0
5286,0.007461973598696492,0,0.008996982449805901,6.0,1.0,5.0,0.005976706289305599,1.9390398883519708,0.008996982449805901,0
5287,0.002077785494081996,0,0.0024153941047350136,12.0,1.0,11.0,0.011957879913901046,3.0803346042623616,0.0024153941047350136,1
5288,0.00892255596696967,0,0.008631306955289908,3.0,0.0,3.0,0.002972705968943362,2.0049998750062628,0.008631306955289908,0
5289,0.012711774474626791,0,0.00568571628607617,2.0,1.0,3.0,0.0001058425059531562,2.0006499201512042,0.00568571628607617,0
5290,0.026849132648601004,0,0.010034308970002959,2.0,1.0,1.0,0.0060493089252166635,1.0006499201512042,0.010034308970002959,0
5291,0.026849132648601004,0,0.005830293698624922,2.0,1.0,1.0,0.0001234263138622793,1.9902844633530776,0.005830293698624922,1
5292,0.011821583145964154,0,0.004355425602579954,0.0,0.0,0.0,0.0,1.0051019080129322,0.004355425602579954,0
